NAMESPACE         NAME                                         TYPE           CLUSTER-IP     EXTERNAL-IP                                                                 PORT(S)                      AGE
default           kubernetes                                   ClusterIP      10.0.0.1       <none>                                                                      443/TCP                      88d
jx-staging        activiti-cloud-gateway                       ClusterIP      10.0.99.194    <none>                                                                      80/TCP                       88d
jx-staging        activiti-cloud-modeling                      ClusterIP      10.0.252.81    <none>                                                                      80/TCP                       88d
jx-staging        activiti-cloud-modeling-backend              ClusterIP      10.0.62.153    <none>                                                                      80/TCP                       88d
jx-staging        demo                                         ClusterIP      10.0.129.247   <none>                                                                      80/TCP                       88d
jx-staging        example-cloud-connector                      ClusterIP      10.0.235.222   <none>                                                                      80/TCP                       6d20h
jx-staging        formio                                       ClusterIP      10.0.119.228   <none>                                                                      80/TCP                       73d
jx-staging        formio-formio-db-mongo                       ClusterIP      10.0.120.68    <none>                                                                      27017/TCP                    73d
jx-staging        jx-staging-keycloak-headless                 ClusterIP      None           <none>                                                                      80/TCP                       88d
jx-staging        jx-staging-keycloak-http                     ClusterIP      10.0.129.150   <none>                                                                      80/TCP                       88d
jx                heapster                                     ClusterIP      10.0.110.154   <none>                                                                      8082/TCP                     88d
jx                jenkins                                      ClusterIP      10.0.203.141   <none>                                                                      8080/TCP                     88d
jx                jenkins-agent                                ClusterIP      10.0.242.37    <none>                                                                      50000/TCP                    88d
jx                jenkins-x-chartmuseum                        ClusterIP      10.0.92.122    <none>                                                                      8080/TCP                     88d
jx                jenkins-x-docker-registry                    ClusterIP      10.0.242.151   <none>                                                                      5000/TCP                     88d
jx                jenkins-x-mongodb                            ClusterIP      10.0.188.240   <none>                                                                      27017/TCP                    88d
jx                jenkins-x-monocular-api                      ClusterIP      10.0.136.171   <none>                                                                      80/TCP                       88d
jx                jenkins-x-monocular-prerender                ClusterIP      10.0.88.12     <none>                                                                      80/TCP                       88d
jx                jenkins-x-monocular-ui                       ClusterIP      10.0.32.186    <none>                                                                      80/TCP                       88d
jx                jx-pipeline-events-elasticsearch-client      ExternalName   <none>         jx-pipeline-events-elasticsearch-client.pipeline-events.svc.cluster.local   <none>                       84d
jx                nexus                                        ClusterIP      10.0.155.187   <none>                                                                      80/TCP                       88d
kube-system       heapster                                     ClusterIP      10.0.117.122   <none>                                                                      80/TCP                       88d
kube-system       jxing-nginx-ingress-controller               LoadBalancer   10.0.70.43     40.121.33.227                                                               80:30681/TCP,443:32538/TCP   88d
kube-system       jxing-nginx-ingress-default-backend          ClusterIP      10.0.240.49    <none>                                                                      80/TCP                       88d
kube-system       kube-dns                                     ClusterIP      10.0.0.10      <none>                                                                      53/UDP,53/TCP                88d
kube-system       kubernetes-dashboard                         ClusterIP      10.0.234.22    <none>                                                                      80/TCP                       88d
kube-system       tiller-deploy                                ClusterIP      10.0.156.117   <none>                                                                      44134/TCP                    88d
pipeline-events   jx-pipeline-events-elasticsearch-client      ClusterIP      10.0.120.65    <none>                                                                      9200/TCP                     84d
pipeline-events   jx-pipeline-events-elasticsearch-discovery   ClusterIP      None           <none>                                                                      9300/TCP                     84d
pipeline-events   jx-pipeline-events-kibana                    ClusterIP      10.0.235.61    <none>                                                                      443/TCP                      84d
